"","Sample","Cluster"
"Alabama","Alabama",1
"Alaska","Alaska",1
"Arizona","Arizona",1
"Arkansas","Arkansas",2
"California","California",1
"Colorado","Colorado",1
"Florida","Florida",1
"Georgia","Georgia",1
"Hawaii","Hawaii",2
"Illinois","Illinois",1
"Indiana","Indiana",2
"Iowa","Iowa",3
"Kentucky","Kentucky",3
"Louisiana","Louisiana",1
"Maine","Maine",3
"Maryland","Maryland",1
"Massachusetts","Massachusetts",2
"Michigan","Michigan",1
"Minnesota","Minnesota",3
"Mississippi","Mississippi",1
"Missouri","Missouri",2
"Montana","Montana",3
"Nebraska","Nebraska",3
"Nevada","Nevada",1
"New Hampshire","New Hampshire",3
"New Jersey","New Jersey",2
"New Mexico","New Mexico",1
"New York","New York",1
"North Carolina","North Carolina",1
"North Dakota","North Dakota",3
"Ohio","Ohio",2
"Oklahoma","Oklahoma",2
"Oregon","Oregon",2
"Pennsylvania","Pennsylvania",2
"Rhode Island","Rhode Island",2
"South Carolina","South Carolina",1
"South Dakota","South Dakota",3
"Tennessee","Tennessee",1
"Texas","Texas",1
"Utah","Utah",2
"Vermont","Vermont",3
"Virginia","Virginia",2
"Washington","Washington",2
"West Virginia","West Virginia",3
"Wisconsin","Wisconsin",3
"Wyoming","Wyoming",2
